title,price,rating,product_link,title_normalized,price_category,rating_int
It's Only the Himalayas,45.17,2,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,it's only the himalayas,Medium,2
In Her Wake,12.84,1,http://books.toscrape.com/in-her-wake_980/index.html,in her wake,Low,1
How Music Works,37.32,2,http://books.toscrape.com/how-music-works_979/index.html,how music works,Medium,2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,http://books.toscrape.com/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,"foolproof preserving: a guide to small batch jams, jellies, pickles, condiments, and more: a foolproof guide to making small batch jams, jellies, pickles, condiments, and more",Medium,3
Chase Me (Paris Nights #2),25.27,5,http://books.toscrape.com/chase-me-paris-nights-2_977/index.html,chase me (paris nights #2),Medium,5
Black Dust,34.53,5,http://books.toscrape.com/black-dust_976/index.html,black dust,Medium,5
Birdsong: A Story in Pictures,54.64,3,http://books.toscrape.com/birdsong-a-story-in-pictures_975/index.html,birdsong: a story in pictures,High,3
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,http://books.toscrape.com/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,america's cradle of quarterbacks: western pennsylvania's football factory from johnny unitas to joe montana,Medium,3
Aladdin and His Wonderful Lamp,53.13,3,http://books.toscrape.com/aladdin-and-his-wonderful-lamp_973/index.html,aladdin and his wonderful lamp,High,3
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,http://books.toscrape.com/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,worlds elsewhere: journeys around shakespeares globe,Medium,5
Wall and Piece,44.18,4,http://books.toscrape.com/wall-and-piece_971/index.html,wall and piece,Medium,4
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,http://books.toscrape.com/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,the four agreements: a practical guide to personal freedom,Low,5
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,http://books.toscrape.com/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,the five love languages: how to express heartfelt commitment to your mate,Medium,3
The Elephant Tree,23.82,5,http://books.toscrape.com/the-elephant-tree_968/index.html,the elephant tree,Medium,5
The Bear and the Piano,36.89,1,http://books.toscrape.com/the-bear-and-the-piano_967/index.html,the bear and the piano,Medium,1
Sophie's World,15.94,5,http://books.toscrape.com/sophies-world_966/index.html,sophie's world,Low,5
Penny Maybe,33.29,3,http://books.toscrape.com/penny-maybe_965/index.html,penny maybe,Medium,3
Maude (1883-1993):She Grew Up with the country,18.02,2,http://books.toscrape.com/maude-1883-1993she-grew-up-with-the-country_964/index.html,maude (1883-1993):she grew up with the country,Low,2
"In a Dark, Dark Wood",19.63,1,http://books.toscrape.com/in-a-dark-dark-wood_963/index.html,"in a dark, dark wood",Low,1
Behind Closed Doors,52.22,4,http://books.toscrape.com/behind-closed-doors_962/index.html,behind closed doors,High,4
You can't bury them all: Poems,33.63,2,http://books.toscrape.com/you-cant-bury-them-all-poems_961/index.html,you can't bury them all: poems,Medium,2
Slow States of Collapse: Poems,57.31,3,http://books.toscrape.com/slow-states-of-collapse-poems_960/index.html,slow states of collapse: poems,High,3
Reasons to Stay Alive,26.41,2,http://books.toscrape.com/reasons-to-stay-alive_959/index.html,reasons to stay alive,Medium,2
Private Paris (Private #10),47.61,5,http://books.toscrape.com/private-paris-private-10_958/index.html,private paris (private #10),Medium,5
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,http://books.toscrape.com/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,#higherselfie: wake up your life. free your soul. find your tribe.,Medium,5
Without Borders (Wanderlove #1),45.07,2,http://books.toscrape.com/without-borders-wanderlove-1_956/index.html,without borders (wanderlove #1),Medium,2
When We Collided,31.77,1,http://books.toscrape.com/when-we-collided_955/index.html,when we collided,Medium,1
"We Love You, Charlie Freeman",50.27,5,http://books.toscrape.com/we-love-you-charlie-freeman_954/index.html,"we love you, charlie freeman",High,5
Untitled Collection: Sabbath Poems 2014,14.27,4,http://books.toscrape.com/untitled-collection-sabbath-poems-2014_953/index.html,untitled collection: sabbath poems 2014,Low,4
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,http://books.toscrape.com/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,"unseen city: the majesty of pigeons, the discreet charm of snails & other wonders of the urban wilderness",Medium,4
Unicorn Tracks,18.78,3,http://books.toscrape.com/unicorn-tracks_951/index.html,unicorn tracks,Low,3
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,http://books.toscrape.com/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,"unbound: how eight technologies made us human, transformed society, and brought our world to the brink",Medium,1
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,http://books.toscrape.com/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,tsubasa: world chronicle 2 (tsubasa world chronicle #2),Low,1
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,http://books.toscrape.com/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,throwing rocks at the google bus: how growth became the enemy of prosperity,Medium,3
This One Summer,19.49,4,http://books.toscrape.com/this-one-summer_947/index.html,this one summer,Low,4
Thirst,17.27,5,http://books.toscrape.com/thirst_946/index.html,thirst,Low,5
The Torch Is Passed: A Harding Family Story,19.09,1,http://books.toscrape.com/the-torch-is-passed-a-harding-family-story_945/index.html,the torch is passed: a harding family story,Low,1
The Secret of Dreadwillow Carse,56.13,1,http://books.toscrape.com/the-secret-of-dreadwillow-carse_944/index.html,the secret of dreadwillow carse,High,1
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,http://books.toscrape.com/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,"the pioneer woman cooks: dinnertime: comfort classics, freezer food, 16-minute meals, and other delicious ways to solve supper!",High,1
The Past Never Ends,56.5,4,http://books.toscrape.com/the-past-never-ends_942/index.html,the past never ends,High,4
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,http://books.toscrape.com/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,the natural history of us (the fine art of pretending #2),Medium,3
The Nameless City (The Nameless City #1),38.16,4,http://books.toscrape.com/the-nameless-city-the-nameless-city-1_940/index.html,the nameless city (the nameless city #1),Medium,4
The Murder That Never Was (Forensic Instincts #5),54.11,3,http://books.toscrape.com/the-murder-that-never-was-forensic-instincts-5_939/index.html,the murder that never was (forensic instincts #5),High,3
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,http://books.toscrape.com/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,the most perfect thing: inside (and outside) a bird's egg,Medium,4
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,http://books.toscrape.com/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,"the mindfulness and acceptance workbook for anxiety: a guide to breaking free from anxiety, phobias, and worry using acceptance and commitment therapy",Medium,4
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,http://books.toscrape.com/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,the life-changing magic of tidying up: the japanese art of decluttering and organizing,Low,3
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,http://books.toscrape.com/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,"the inefficiency assassin: time management tactics for working smarter, not longer",Medium,5
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,http://books.toscrape.com/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,the gutsy girl: escapades for your life of epic adventure,Medium,1
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,http://books.toscrape.com/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,the electric pencil: drawings from inside state hospital no. 3,High,1
The Death of Humanity: and the Case for Life,58.11,4,http://books.toscrape.com/the-death-of-humanity-and-the-case-for-life_932/index.html,the death of humanity: and the case for life,High,4
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,http://books.toscrape.com/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,"the bulletproof diet: lose up to a pound a day, reclaim energy and focus, upgrade your life",Medium,3
The Art Forger,40.76,3,http://books.toscrape.com/the-art-forger_930/index.html,the art forger,Medium,3
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,http://books.toscrape.com/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,the age of genius: the seventeenth century and the birth of the modern mind,Low,1
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,http://books.toscrape.com/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,the activist's tao te ching: ancient advice for a modern revolution,Medium,5
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,http://books.toscrape.com/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,spark joy: an illustrated master class on the art of organizing and tidying up,Medium,4
Soul Reader,39.58,2,http://books.toscrape.com/soul-reader_926/index.html,soul reader,Medium,2
Security,39.25,2,http://books.toscrape.com/security_925/index.html,security,Medium,2
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,http://books.toscrape.com/saga-volume-6-saga-collected-editions-6_924/index.html,"saga, volume 6 (saga (collected editions) #6)",Medium,3
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,http://books.toscrape.com/saga-volume-5-saga-collected-editions-5_923/index.html,"saga, volume 5 (saga (collected editions) #5)",High,2
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,http://books.toscrape.com/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,reskilling america: learning to labor in the twenty-first century,Low,2
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,http://books.toscrape.com/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,"rat queens, vol. 3: demons (rat queens (collected editions) #11-15)",High,3
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,http://books.toscrape.com/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,"princess jellyfish 2-in-1 omnibus, vol. 01 (princess jellyfish 2-in-1 omnibus #1)",Low,5
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,http://books.toscrape.com/princess-between-worlds-wide-awake-princess-5_919/index.html,princess between worlds (wide-awake princess #5),Low,5
"Pop Gun War, Volume 1: Gift",18.97,1,http://books.toscrape.com/pop-gun-war-volume-1-gift_918/index.html,"pop gun war, volume 1: gift",Low,1
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,http://books.toscrape.com/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,"political suicide: missteps, peccadilloes, bad calls, backroom hijinx, sordid pasts, rotten breaks, and just plain dumb mistakes in the annals of american politics",Medium,2
Patience,10.16,3,http://books.toscrape.com/patience_916/index.html,patience,Low,3
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,http://books.toscrape.com/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,"outcast, vol. 1: a darkness surrounds him (outcast #1)",Low,4
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,http://books.toscrape.com/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,orange: the complete collection 1 (orange: the complete collection #1),Medium,1
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,http://books.toscrape.com/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,online marketing for busy authors: a step-by-step guide,Medium,1
On a Midnight Clear,14.07,3,http://books.toscrape.com/on-a-midnight-clear_912/index.html,on a midnight clear,Low,3
Obsidian (Lux #1),14.86,2,http://books.toscrape.com/obsidian-lux-1_911/index.html,obsidian (lux #1),Low,2
My Paris Kitchen: Recipes and Stories,33.37,2,http://books.toscrape.com/my-paris-kitchen-recipes-and-stories_910/index.html,my paris kitchen: recipes and stories,Medium,2
Masks and Shadows,56.4,2,http://books.toscrape.com/masks-and-shadows_909/index.html,masks and shadows,High,2
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,http://books.toscrape.com/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,"mama tried: traditional italian cooking for the screwed, crude, vegan, and tattooed",Low,4
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,http://books.toscrape.com/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,"lumberjanes, vol. 2: friendship to the max (lumberjanes #5-8)",Medium,2
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,http://books.toscrape.com/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,"lumberjanes, vol. 1: beware the kitten holy (lumberjanes #1-4)",Medium,3
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,http://books.toscrape.com/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,lumberjanes vol. 3: a terrible plan (lumberjanes #9-12),Low,2
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,http://books.toscrape.com/layered-baking-building-and-styling-spectacular-cakes_904/index.html,"layered: baking, building, and styling spectacular cakes",Medium,1
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,http://books.toscrape.com/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,judo: seven steps to black belt (an introductory guide for beginners),High,2
Join,35.67,5,http://books.toscrape.com/join_902/index.html,join,Medium,5
In the Country We Love: My Family Divided,22.0,4,http://books.toscrape.com/in-the-country-we-love-my-family-divided_901/index.html,in the country we love: my family divided,Medium,4
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,http://books.toscrape.com/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,immunity: how elie metchnikoff changed the course of modern medicine,High,5
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,http://books.toscrape.com/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,"i hate fairyland, vol. 1: madly ever after (i hate fairyland (compilations) #1-5)",Medium,2
I am a Hero Omnibus Volume 1,54.63,3,http://books.toscrape.com/i-am-a-hero-omnibus-volume-1_898/index.html,i am a hero omnibus volume 1,High,3
How to Be Miserable: 40 Strategies You Already Use,46.03,1,http://books.toscrape.com/how-to-be-miserable-40-strategies-you-already-use_897/index.html,how to be miserable: 40 strategies you already use,Medium,1
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,http://books.toscrape.com/her-backup-boyfriend-the-sorensen-family-1_896/index.html,her backup boyfriend (the sorensen family #1),Medium,1
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,http://books.toscrape.com/giant-days-vol-2-giant-days-5-8_895/index.html,"giant days, vol. 2 (giant days #5-8)",Medium,2
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,http://books.toscrape.com/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,forever and forever: the courtship of henry longfellow and fanny appleton,Medium,3
First and First (Five Boroughs #3),15.97,4,http://books.toscrape.com/first-and-first-five-boroughs-3_893/index.html,first and first (five boroughs #3),Low,4
Fifty Shades Darker (Fifty Shades #2),21.96,1,http://books.toscrape.com/fifty-shades-darker-fifty-shades-2_892/index.html,fifty shades darker (fifty shades #2),Medium,1
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,http://books.toscrape.com/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,everydata: the misinformation hidden in the little data you consume every day,High,2
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,http://books.toscrape.com/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,"don't be a jerk: and other practical advice from dogen, japan's greatest zen master",Medium,2
Danganronpa Volume 1,51.99,4,http://books.toscrape.com/danganronpa-volume-1_889/index.html,danganronpa volume 1,High,4
Crown of Midnight (Throne of Glass #2),43.29,3,http://books.toscrape.com/crown-of-midnight-throne-of-glass-2_888/index.html,crown of midnight (throne of glass #2),Medium,3
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,http://books.toscrape.com/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,"codename baboushka, volume 1: the conclave of death",Medium,4
Camp Midnight,17.08,4,http://books.toscrape.com/camp-midnight_886/index.html,camp midnight,Low,4
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,http://books.toscrape.com/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,call the nurse: true stories of a country nurse on a scottish isle,Medium,5
Burning,28.81,3,http://books.toscrape.com/burning_884/index.html,burning,Medium,3
Bossypants,49.46,2,http://books.toscrape.com/bossypants_883/index.html,bossypants,Medium,2
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,http://books.toscrape.com/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,"bitch planet, vol. 1: extraordinary machine (bitch planet (collected editions))",Medium,2
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,http://books.toscrape.com/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,"avatar: the last airbender: smoke and shadow, part 3 (smoke and shadow #3)",Medium,2
Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,http://books.toscrape.com/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,algorithms to live by: the computer science of human decisions,Medium,1
A World of Flavor: Your Gluten Free Passport,42.95,1,http://books.toscrape.com/a-world-of-flavor-your-gluten-free-passport_879/index.html,a world of flavor: your gluten free passport,Medium,1
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5,http://books.toscrape.com/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,"a piece of sky, a grain of rice: a memoir in four meditations",High,5
A Murder in Time,16.64,1,http://books.toscrape.com/a-murder-in-time_877/index.html,a murder in time,Low,1
A Flight of Arrows (The Pathfinders #2),55.53,5,http://books.toscrape.com/a-flight-of-arrows-the-pathfinders-2_876/index.html,a flight of arrows (the pathfinders #2),High,5
A Fierce and Subtle Poison,28.13,4,http://books.toscrape.com/a-fierce-and-subtle-poison_875/index.html,a fierce and subtle poison,Medium,4
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,http://books.toscrape.com/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,a court of thorns and roses (a court of thorns and roses #1),High,1
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,http://books.toscrape.com/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,(un)qualified: how god uses broken people to do big things,High,5
You Are What You Love: The Spiritual Power of Habit,21.87,4,http://books.toscrape.com/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,you are what you love: the spiritual power of habit,Medium,4
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,http://books.toscrape.com/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,"william shakespeare's star wars: verily, a new hope (william shakespeare's star wars #4)",Medium,4
Tuesday Nights in 1980,21.04,2,http://books.toscrape.com/tuesday-nights-in-1980_870/index.html,tuesday nights in 1980,Medium,2
Tracing Numbers on a Train,41.6,3,http://books.toscrape.com/tracing-numbers-on-a-train_869/index.html,tracing numbers on a train,Medium,3
Throne of Glass (Throne of Glass #1),35.07,3,http://books.toscrape.com/throne-of-glass-throne-of-glass-1_868/index.html,throne of glass (throne of glass #1),Medium,3
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,http://books.toscrape.com/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html,thomas jefferson and the tripoli pirates: the forgotten war that changed american history,High,1
Thirteen Reasons Why,52.72,1,http://books.toscrape.com/thirteen-reasons-why_866/index.html,thirteen reasons why,High,1
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,4,http://books.toscrape.com/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,the white cat and the monk: a retelling of the poem pangur ban,High,4
The Wedding Dress,24.12,1,http://books.toscrape.com/the-wedding-dress_864/index.html,the wedding dress,Medium,1
The Vacationers,42.15,4,http://books.toscrape.com/the-vacationers_863/index.html,the vacationers,Medium,4
The Third Wave: An Entrepreneur’s Vision of the Future,12.61,5,http://books.toscrape.com/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html,the third wave: an entrepreneurs vision of the future,Low,5
The Stranger,17.44,4,http://books.toscrape.com/the-stranger_861/index.html,the stranger,Low,4
The Shadow Hero (The Shadow Hero),33.14,1,http://books.toscrape.com/the-shadow-hero-the-shadow-hero_860/index.html,the shadow hero (the shadow hero),Medium,1
The Secret (The Secret #1),27.37,4,http://books.toscrape.com/the-secret-the-secret-1_859/index.html,the secret (the secret #1),Medium,4
The Regional Office Is Under Attack!,51.36,5,http://books.toscrape.com/the-regional-office-is-under-attack_858/index.html,the regional office is under attack!,High,5
The Psychopath Test: A Journey Through the Madness Industry,36.0,2,http://books.toscrape.com/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html,the psychopath test: a journey through the madness industry,Medium,2
The Project,10.65,1,http://books.toscrape.com/the-project_856/index.html,the project,Low,1
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,http://books.toscrape.com/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,the power of now: a guide to spiritual enlightenment,Medium,2
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,http://books.toscrape.com/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,the omnivore's dilemma: a natural history of four meals,Medium,2
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,http://books.toscrape.com/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html,the nerdy nummies cookbook: sweet treats for the geek in all of us,Medium,5
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,http://books.toscrape.com/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,the murder of roger ackroyd (hercule poirot #4),Medium,4
The Mistake (Off-Campus #2),43.29,3,http://books.toscrape.com/the-mistake-off-campus-2_851/index.html,the mistake (off-campus #2),Medium,3
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1,http://books.toscrape.com/the-matchmakers-playbook-wingmen-inc-1_850/index.html,the matchmaker's playbook (wingmen inc. #1),High,1
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,http://books.toscrape.com/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html,the love and lemons cookbook: an apple-to-zucchini celebration of impromptu cooking,Medium,2
